institution,course_name,url,year,module_name,credits,type,bucket_1,bucket_2
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Feminist Perspectives on Politics / Feminist Perspectives on Politics,,optional,"Gender, Identity & Society",Political Theory & Philosophy
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Global Distributive Justice,,optional,Political Theory & Philosophy,IR Theory & Global Order
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Issues In British Politics / Politics 3: Issues in British Politics,,optional,Comparative & British Politics,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Issues In International Relations,,optional,IR Theory & Global Order,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Latin American Politics,,optional,Regional & Area Studies,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,"Politics, Communication and Democracy",,optional,"Media, Communication & Culture",Comparative & British Politics
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,The Politics of Immigration,,optional,Human Rights & Humanitarianism,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Post-colonial and De-colonial International Theory,,optional,IR Theory & Global Order,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,"Protest Politics in a Post-Political Age: Reform, Resistance or Revolution?",,optional,Political Theory & Philosophy,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Scottish Politics / Scottish Politics,,optional,Comparative & British Politics,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Securitisation and the New Security Agenda,,optional,Security & Conflict,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,US Foreign Policy,,optional,Diplomacy & Foreign Policy,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,War and International Security,,optional,Security & Conflict,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,International Relations Concepts,,,IR Theory & Global Order,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,African Politics in Global Perspective,,optional,Regional & Area Studies,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,American Politics,,optional,Regional & Area Studies,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,"Authoritarianism: Concepts, Theories and Comparative Analysis",,optional,Comparative & British Politics,Political Theory & Philosophy
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,British Prime Ministers since 1945,,optional,Comparative & British Politics,Sociology & History
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,China's International Relations,,optional,Regional & Area Studies,Diplomacy & Foreign Policy
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Comparative Perspectives on Populism,,optional,Comparative & British Politics,Political Theory & Philosophy
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Comparative Public Opinion,,optional,Comparative & British Politics,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Government and Public Policy in the UK,,optional,Comparative & British Politics,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Equality and Justice,,optional,Political Theory & Philosophy,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Global Environmental Politics,,optional,Environment & Sustainability,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Global Inequality and International Development,,optional,International Political Economy,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Political Ideas that Changed the World,,optional,Political Theory & Philosophy,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Human Rights In Global Perspective,,optional,Human Rights & Humanitarianism,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,International Organizations,,optional,Diplomacy & Foreign Policy,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,International Political Communication / International Political Communication,,optional,"Media, Communication & Culture",
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,International Political Economy,,optional,International Political Economy,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Politics of the Middle East,,optional,Regional & Area Studies,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Narratives of War and Conflict,,optional,Security & Conflict,"Media, Communication & Culture"
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Political Parties and Democracy: Global Party Politics in Transition,,optional,Comparative & British Politics,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Politics Of The European Union,,optional,Regional & Area Studies,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Politics of Terror,,optional,Security & Conflict,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Politics and Popular Culture,,optional,"Media, Communication & Culture",
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,The Psychology of Politics,,optional,Sociology & History,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,"Radical Politics: Marx, Marxism and Anarchism",,optional,Political Theory & Philosophy,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Social Movements,,optional,Sociology & History,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,The Politics of Borders,,optional,IR Theory & Global Order,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Business and Politics,,optional,International Political Economy,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Chinese Politics,,optional,Regional & Area Studies,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Citizenship And Democracy,,optional,Political Theory & Philosophy,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Challenges to Democracy,,optional,Political Theory & Philosophy,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Comparative European Politics,,optional,Comparative & British Politics,Regional & Area Studies
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Contemporary Challenges in Politics,,optional,Comparative & British Politics,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Defying Dictators:Political Opposition in Authoritarian States,,optional,Comparative & British Politics,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Elections and Voters,,optional,Comparative & British Politics,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Feminist Perspectives on Politics / Feminist Perspectives on Politics,,optional,"Gender, Identity & Society",Political Theory & Philosophy
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Global Distributive Justice,,optional,Political Theory & Philosophy,IR Theory & Global Order
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Issues In British Politics / Politics 3: Issues in British Politics,,optional,Comparative & British Politics,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Issues In International Relations,,optional,IR Theory & Global Order,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Latin American Politics,,optional,Regional & Area Studies,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,"Politics, Communication and Democracy",,optional,"Media, Communication & Culture",Comparative & British Politics
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,The Politics of Immigration,,optional,Human Rights & Humanitarianism,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Post-colonial and De-colonial International Theory,,optional,IR Theory & Global Order,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,"Protest Politics in a Post-Political Age: Reform, Resistance or Revolution?",,optional,Political Theory & Philosophy,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Scottish Politics / Scottish Politics,,optional,Comparative & British Politics,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,Securitisation and the New Security Agenda,,optional,Security & Conflict,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,US Foreign Policy,,optional,Diplomacy & Foreign Policy,
Glasgow,MA(SocSci) (hons) international relations & sociology,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,Year 3,War and International Security,,optional,Security & Conflict,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Politics 1A: Introduction to Politics,,,Comparative & British Politics,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Politics 1B: Introduction to International Relations,,,IR Theory & Global Order,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Politics 2A: History Of Political Thought,,,Political Theory & Philosophy,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Politics 2B: Introduction to Comparative Politics,,,Comparative & British Politics,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,African Politics in Global Perspective,,,Regional & Area Studies,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,American Politics,,,Regional & Area Studies,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,"Authoritarianism: Concepts, Theories and Comparative Analysis",,,Comparative & British Politics,Political Theory & Philosophy
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,British Prime Ministers since 1945,,,Comparative & British Politics,Sociology & History
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,China's International Relations,,,Regional & Area Studies,Diplomacy & Foreign Policy
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Comparative Perspectives on Populism,,,Comparative & British Politics,Political Theory & Philosophy
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Comparative Public Opinion,,,Comparative & British Politics,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Government and Public Policy in the UK,,,Comparative & British Politics,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Equality and Justice,,,Political Theory & Philosophy,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Global Environmental Politics,,,Environment & Sustainability,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Global Inequality and International Development,,,International Political Economy,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Political Ideas that Changed the World,,,Political Theory & Philosophy,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Human Rights In Global Perspective,,,Human Rights & Humanitarianism,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,International Organizations,,,Diplomacy & Foreign Policy,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,International Political Communication / International Political Communication,,,"Media, Communication & Culture",
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,International Political Economy,,,International Political Economy,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Politics of the Middle East,,,Regional & Area Studies,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Narratives of War and Conflict,,,Security & Conflict,"Media, Communication & Culture"
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Political Parties and Democracy: Global Party Politics in Transition,,,Comparative & British Politics,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Politics Of The European Union,,,Regional & Area Studies,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Politics of Terror,,,Security & Conflict,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Politics and Popular Culture,,,"Media, Communication & Culture",
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,The Psychology of Politics,,,Sociology & History,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,"Radical Politics: Marx, Marxism and Anarchism",,,Political Theory & Philosophy,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Social Movements,,,Sociology & History,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,The Politics of Borders,,,IR Theory & Global Order,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Business and Politics,,,International Political Economy,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Chinese Politics,,,Regional & Area Studies,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Citizenship And Democracy,,,Political Theory & Philosophy,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Challenges to Democracy,,,Political Theory & Philosophy,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Comparative European Politics,,,Comparative & British Politics,Regional & Area Studies
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Contemporary Challenges in Politics,,,Comparative & British Politics,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Defying Dictators:Political Opposition in Authoritarian States,,,Comparative & British Politics,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Elections and Voters,,,Comparative & British Politics,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Feminist Perspectives on Politics / Feminist Perspectives on Politics,,,"Gender, Identity & Society",Political Theory & Philosophy
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Global Distributive Justice,,,Political Theory & Philosophy,IR Theory & Global Order
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Issues In British Politics / Politics 3: Issues in British Politics,,,Comparative & British Politics,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Issues In International Relations,,,IR Theory & Global Order,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Latin American Politics,,,Regional & Area Studies,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,"Politics, Communication and Democracy",,,"Media, Communication & Culture",Comparative & British Politics
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,The Politics of Immigration,,,Human Rights & Humanitarianism,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Post-colonial and De-colonial International Theory,,,IR Theory & Global Order,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,"Protest Politics in a Post-Political Age: Reform, Resistance or Revolution?",,,Political Theory & Philosophy,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Scottish Politics / Scottish Politics,,,Comparative & British Politics,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Securitisation and the New Security Agenda,,,Security & Conflict,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,US Foreign Policy,,,Diplomacy & Foreign Policy,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,War and International Security,,,Security & Conflict,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Politics 1A: Introduction to Politics,,,Comparative & British Politics,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Politics 1B: Introduction to International Relations,,,IR Theory & Global Order,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Politics 2A: History Of Political Thought,,,Political Theory & Philosophy,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Politics 2B: Introduction to Comparative Politics,,,Comparative & British Politics,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,African Politics in Global Perspective,,,Regional & Area Studies,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,American Politics,,,Regional & Area Studies,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,"Authoritarianism: Concepts, Theories and Comparative Analysis",,,Comparative & British Politics,Political Theory & Philosophy
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,British Prime Ministers since 1945,,,Comparative & British Politics,Sociology & History
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,China's International Relations,,,Regional & Area Studies,Diplomacy & Foreign Policy
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Comparative Perspectives on Populism,,,Comparative & British Politics,Political Theory & Philosophy
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Comparative Public Opinion,,,Comparative & British Politics,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Government and Public Policy in the UK,,,Comparative & British Politics,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Equality and Justice,,,Political Theory & Philosophy,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Global Environmental Politics,,,Environment & Sustainability,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Global Inequality and International Development,,,International Political Economy,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Political Ideas that Changed the World,,,Political Theory & Philosophy,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Human Rights In Global Perspective,,,Human Rights & Humanitarianism,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,International Organizations,,,Diplomacy & Foreign Policy,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,International Political Communication / International Political Communication,,,"Media, Communication & Culture",
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,International Political Economy,,,International Political Economy,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Politics of the Middle East,,,Regional & Area Studies,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Narratives of War and Conflict,,,Security & Conflict,"Media, Communication & Culture"
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Political Parties and Democracy: Global Party Politics in Transition,,,Comparative & British Politics,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Politics Of The European Union,,,Regional & Area Studies,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Politics of Terror,,,Security & Conflict,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Politics and Popular Culture,,,"Media, Communication & Culture",
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,The Psychology of Politics,,,Sociology & History,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,"Radical Politics: Marx, Marxism and Anarchism",,,Political Theory & Philosophy,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Social Movements,,,Sociology & History,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,The Politics of Borders,,,IR Theory & Global Order,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Business and Politics,,,International Political Economy,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Chinese Politics,,,Regional & Area Studies,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Citizenship And Democracy,,,Political Theory & Philosophy,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Challenges to Democracy,,,Political Theory & Philosophy,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Comparative European Politics,,,Comparative & British Politics,Regional & Area Studies
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Contemporary Challenges in Politics,,,Comparative & British Politics,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Defying Dictators:Political Opposition in Authoritarian States,,,Comparative & British Politics,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Elections and Voters,,,Comparative & British Politics,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Feminist Perspectives on Politics / Feminist Perspectives on Politics,,,"Gender, Identity & Society",Political Theory & Philosophy
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Global Distributive Justice,,,Political Theory & Philosophy,IR Theory & Global Order
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Issues In British Politics / Politics 3: Issues in British Politics,,,Comparative & British Politics,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Issues In International Relations,,,IR Theory & Global Order,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,Latin American Politics,,,Regional & Area Studies,
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,"Politics, Communication and Democracy",,,"Media, Communication & Culture",Comparative & British Politics
Glasgow,MA(SocSci) (hons) politics/ psychology,http://www.gla.ac.uk/undergraduate/degrees/politics/,Year 2,The Politics of Immigration,,,Human Rights & Humanitarianism,
